[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /health                   --> info-agent/core/internal/httpapi.health (4 handlers)
[GIN-debug] GET    /api/info                 --> info-agent/core/internal/httpapi.info (4 handlers)
[GIN-debug] POST   /auth/login               --> info-agent/core/internal/httpapi.(*AuthHandler).Login-fm (4 handlers)
[GIN-debug] POST   /auth/register            --> info-agent/core/internal/httpapi.(*AuthHandler).Register-fm (4 handlers)
[GIN-debug] POST   /auth/refresh             --> info-agent/core/internal/httpapi.(*AuthHandler).Refresh-fm (4 handlers)
[GIN-debug] POST   /auth/logout              --> info-agent/core/internal/httpapi.(*AuthHandler).Logout-fm (4 handlers)
[GIN-debug] GET    /auth/me                  --> info-agent/core/internal/httpapi.(*AuthHandler).Me-fm (5 handlers)
[GIN-debug] PATCH  /auth/me                  --> info-agent/core/internal/httpapi.(*AuthHandler).UpdateMe-fm (5 handlers)
[GIN-debug] GET    /auth/me/avatar           --> info-agent/core/internal/httpapi.(*AuthHandler).Avatar-fm (5 handlers)
[GIN-debug] POST   /auth/me/avatar           --> info-agent/core/internal/httpapi.(*AuthHandler).UploadAvatar-fm (5 handlers)
[GIN-debug] GET    /internal/auth/verify     --> info-agent/core/internal/httpapi.(*AuthHandler).Verify-fm (4 handlers)
[GIN-debug] POST   /organizations            --> info-agent/core/internal/httpapi.(*OrganizationHandler).Create-fm (5 handlers)
[GIN-debug] GET    /organizations/current    --> info-agent/core/internal/httpapi.(*OrganizationHandler).Current-fm (5 handlers)
[GIN-debug] GET    /organizations/:organization_id/members --> info-agent/core/internal/httpapi.(*OrganizationHandler).Members-fm (5 handlers)
[GIN-debug] POST   /organizations/:organization_id/invitations --> info-agent/core/internal/httpapi.(*OrganizationHandler).CreateInvitation-fm (5 handlers)
[GIN-debug] POST   /organizations/:organization_id/invitations/:invitation_id/revoke --> info-agent/core/internal/httpapi.(*OrganizationHandler).RevokeInvitation-fm (5 handlers)
[GIN-debug] POST   /organizations/:organization_id/members/:user_id/roles --> info-agent/core/internal/httpapi.(*OrganizationHandler).GrantRole-fm (5 handlers)
[GIN-debug] DELETE /organizations/:organization_id/members/:user_id/roles/:role_code --> info-agent/core/internal/httpapi.(*OrganizationHandler).RevokeRole-fm (5 handlers)
[GIN-debug] POST   /organization-invitations/:token/accept --> info-agent/core/internal/httpapi.(*OrganizationHandler).AcceptInvitation-fm (5 handlers)
[GIN-debug] POST   /internal/v1/authorization/search-scope --> info-agent/core/internal/httpapi.(*AuthorizationHandler).Scope-fm (4 handlers)
[GIN-debug] POST   /internal/v1/authorization/check-batch --> info-agent/core/internal/httpapi.(*AuthorizationHandler).CheckBatch-fm (4 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2026/09/15 - 00:23:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:23:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:24:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:24:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:25:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:25:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:26:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:26:32 | 401 |       670.7µs |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:27:05 | 200 |            0s |             ::1 | GET      "/health"
[GIN] 2026/09/15 - 00:27:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:27:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:28:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:28:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:29:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:29:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:30:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:30:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:31:31 | 401 |       504.2µs |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:31:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:32:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:32:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:33:31 | 401 |       503.2µs |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:33:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:34:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:34:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:35:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:35:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:36:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:36:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:37:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:37:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:38:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:38:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:39:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:39:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:40:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:40:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:41:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:41:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:42:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:42:32 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
[GIN] 2026/09/15 - 00:43:31 | 401 |            0s |       127.0.0.1 | POST     "/auth/refresh"
